metric,all_feature_model,top_feature_model,absolute_drop,absolute_drop_percentage_points,retained_ratio,retained_percent
accuracy,0.7216666666666667,0.69375,0.0279166666666667,2.79166666666667,0.9613163972286374,96.13163972286374
precision_weighted,0.7120157655664046,0.6863657143056958,0.02565005126070874,2.565005126070874,0.9639754447848436,96.39754447848436
recall_weighted,0.7216666666666667,0.69375,0.0279166666666667,2.79166666666667,0.9613163972286374,96.13163972286374
roc_auc_ovr_weighted,0.9780153079710144,0.9729046648550725,0.005110643115941893,0.5110643115941893,0.9947744753335769,99.47744753335769
