mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
12.406387011210123,0.12100897621031179,0.2729184627532959,0.024860760912405796,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.968439592615646,0.9699317565654784,0.9691315551097637,0.9691676347636294,0.0006097073720849451,29,1.0,1.0,1.0,1.0,0.0
24.230559190114338,0.21508085457755716,0.44486204783121747,0.013172510975599197,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9696606054141816,0.9708324784662392,0.9702580125096685,0.9702503654633631,0.0004784457269970326,13,1.0,1.0,1.0,1.0,0.0
11.977794726689657,0.26492887328460646,0.27173368136088055,0.017346296839786543,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9688126654430342,0.9707071635209026,0.9702754135194506,0.9699317474944625,0.0008107036015339012,23,0.9999963696685893,0.9999972996065793,0.9999979174091052,0.9999971955614245,6.361311299725215e-07
24.637136856714886,0.07290899748059955,0.390250285466512,0.0022559539742146957,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9697142972987585,0.9715188610500004,0.9708235220343081,0.970685560127689,0.0007431409461793818,7,0.9999974205446245,0.999997719947855,0.9999983313842642,0.9999978239589146,3.7905227229497873e-07
12.32811443010966,0.6190618403386458,0.24619015057881674,0.020111300383885825,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9693884730854953,0.9712074315606976,0.9701123153905407,0.9702360733455778,0.0007477252201193553,14,0.9999888033329947,0.9999924847127589,0.9999922014057671,0.9999911631505068,1.6726465518496664e-06
24.44504992167155,0.14600571838451176,0.3872557481129964,0.007389631898591431,,sqrt,2,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9701533562919635,0.9716759378747526,0.9709082521272795,0.970912515431332,0.0006215986383957597,2,0.9999907203737017,0.9999925611393897,0.99999331276069,0.9999921980912605,1.089027251686992e-06
11.754716555277506,0.05152100190137382,0.24175310134887695,0.004449754824741136,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9691728017413267,0.9710199739166098,0.9695565614526632,0.9699164457035332,0.0007958847348719115,24,0.999978816931186,0.99998344083787,0.9999834538868257,0.9999819038852938,2.182812683567509e-06
23.48567795753479,0.0733114876109558,0.4167993863423665,0.049965218144032306,,sqrt,2,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9699169228919896,0.9715817944493464,0.9705993646717846,0.9706993606710402,0.000683348971621523,6,0.9999816255304185,0.9999849120868534,0.9999861224060487,0.9999842200077734,1.8999478410307418e-06
10.12007705370585,0.027477991624529435,0.2520313262939453,0.005086413946247033,,log2,1,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9681716185772524,0.9692300237566581,0.9693673639075832,0.9689230020804979,0.000534258648955798,32,1.0,1.0,1.0,1.0,0.0
21.874447027842205,2.264694758764162,0.48715726534525555,0.10067797309914488,,log2,1,2,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9693934632656057,0.9705561426333967,0.9702476650058977,0.9700657569683,0.0004917816105269315,18,1.0,1.0,1.0,1.0,0.0
